code,name,reason
012320,경동인베스트,분석 제외 대상
016710,대성홀딩스,분석 제외 대상
336260,두산퓨얼셀,Error on calculate_srim : not enough ROE history
034300,신세계건설,분석 제외 대상
001720,신영증권,분석 제외 대상
900140,엘브이엠씨,분석 제외 대상
316140,우리금융지주,분석 제외 대상
003470,유안타증권,분석 제외 대상
005740,크라운해태홀딩스,분석 제외 대상
039490,키움증권,분석 제외 대상
264900,크라운제과,Error on calculate_srim : not enough ROE history
172580,하이골드12호,Error on parse_fnguide : Cannot remove 1 levels from an index with 1 levels: at least one level must be left.
351320,IBKS제14호스팩,분석 제외 대상
900280,골든센츄리,분석 제외 대상
300120,라온피플,Error on calculate_srim : not enough ROE history
900260,로스웰,분석 제외 대상
314930,바이오다인,Error on calculate_srim : not enough ROE history
288330,브릿지바이오,Error on calculate_srim : could not convert string to float: '완전잠식'
268600,셀리버리,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
258790,소프트캠프,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
357780,솔브레인,Error on organize_result : cannot convert float NaN to integer
262260,에이프로,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
310840,엔에이치스팩13호,분석 제외 대상
244460,올리패스,Error on calculate_srim : could not convert string to float: '완전잠식'
294090,이오플로우,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
950140,잉글우드랩,분석 제외 대상
314130,지놈앤컴퍼니,Error on calculate_srim : could not convert string to float: '완전잠식'
317030,케이비17호스팩,분석 제외 대상
900250,크리스탈신소재,분석 제외 대상
318020,포인트모바일,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
372290,하나머스트7호스팩,분석 제외 대상
340440,한화플러스제1호스팩,분석 제외 대상
183410,골프존데카,Error on calculate_srim : could not convert string to float: '완전잠식'
179530,애드바이오텍,Error on calculate_srim : not enough ROE history
246250,에스엘에스바이오,Error on calculate_srim : could not convert string to float: '완전잠식'
093510,엔지브이아이,Error on calculate_srim : not enough ROE history
225860,엠앤씨생명과학,Error on calculate_srim : could not convert string to float: '완전잠식'
337840,유엑스엔,Error on calculate_srim : not enough ROE history
140290,청광건설,분석 제외 대상
341310,이앤에치,Error on calculate_srim : not enough ROE history
327610,펨토바이오메드,Error on calculate_srim : not enough ROE history
027410,BGF,분석 제외 대상
000590,CS홀딩스,분석 제외 대상
000210,DL,분석 제외 대상
012630,HDC,분석 제외 대상
009440,KC그린홀딩스,분석 제외 대상
036530,SNT홀딩스,분석 제외 대상
003540,대신증권,분석 제외 대상
005960,동부건설,분석 제외 대상
000060,메리츠화재,분석 제외 대상
000180,성창기업지주,분석 제외 대상
025530,에스제이엠홀딩스,분석 제외 대상
000230,일동홀딩스,분석 제외 대상
015860,일진홀딩스,분석 제외 대상
317400,자이에스앤디,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
348950,제이알글로벌리츠,분석 제외 대상
035000,지투알,분석 제외 대상
357120,코람코에너지리츠,분석 제외 대상
153360,하이골드3호,Error on parse_fnguide : Cannot remove 1 levels from an index with 1 levels: at least one level must be left.
152550,한국ANKOR유전,Error on parse_fnguide : list index out of range
081660,휠라홀딩스,분석 제외 대상
348150,고바이오랩,Error on calculate_srim : not enough ROE history
019570,리더스 기술투자,분석 제외 대상
353490,미래에셋대우스팩 5호,분석 제외 대상
333430,미래에셋대우스팩4호,분석 제외 대상
950190,미투젠,분석 제외 대상
307870,상상인이안1호스팩,분석 제외 대상
357550,석경에이티,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
950200,소마젠,분석 제외 대상
331920,셀레믹스,Error on calculate_srim : not enough ROE history
054800,아이디스홀딩스,분석 제외 대상
027360,아주IB투자,분석 제외 대상
117670,알파홀딩스,분석 제외 대상
293780,압타바이오,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
041190,우리기술투자,분석 제외 대상
348350,위드텍,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
287410,유안타제3호스팩,분석 제외 대상
321550,티움바이오,Error on calculate_srim : not enough ROE history
310870,한국제8호스팩,분석 제외 대상
317320,한화에스비아이스팩,분석 제외 대상
348840,데이드림엔터,Error on calculate_srim : not enough ROE history
176750,듀켐바이오,Error on calculate_srim : could not convert string to float: '완전잠식'
267060,명진홀딩스,분석 제외 대상
179720,렌딩머신,Error on calculate_srim : could not convert string to float: '완전잠식'
266470,바이오인프라생명과학,Error on calculate_srim : can't multiply sequence by non-int of type 'numpy.float64'
327970,케어룸의료산업,Error on calculate_srim : not enough ROE history
375500,DL이앤씨,Error on organize_result : cannot convert float NaN to integer
030210,KTB투자증권,분석 제외 대상
071970,STX중공업,Error on calculate_srim : could not convert string to float: '완전잠식'
330590,롯데리츠,분석 제외 대상
138040,메리츠금융지주,분석 제외 대상
003030,세아제강지주,분석 제외 대상
001800,오리온홀딩스,분석 제외 대상
334890,이지스밸류플러스리츠,분석 제외 대상
002020,코오롱,분석 제외 대상
004870,티웨이홀딩스,분석 제외 대상
010770,평화홀딩스,분석 제외 대상
950210,프레스티지바이오파마,분석 제외 대상
000140,하이트진로홀딩스,분석 제외 대상
003530,한화투자증권,분석 제외 대상
267250,현대중공업지주,분석 제외 대상
335870,IBKS제12호스팩,분석 제외 대상
290660,네오펙트,Error on calculate_srim : could not convert string to float: '완전잠식'
317850,대모,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
338220,뷰노,Error on calculate_srim : not enough ROE history
291230,삼성스팩2호,분석 제외 대상
035890,서희건설,분석 제외 대상
158310,스타모빌리티,"Error on organize_result : ufunc 'add' did not contain a loop with signature matching types (dtype('<U32'), dtype('<U32')) -> dtype('<U32')"
036710,심텍홀딩스,분석 제외 대상
356890,싸이버원,Error on calculate_srim : not enough ROE history
125210,아모그린텍,Error on calculate_srim : could not convert string to float: '완전잠식'
291650,압타머사이언스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
359090,엔에이치스팩17호,분석 제외 대상
236810,엔비티,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
365590,엔에이치스팩18호,분석 제외 대상
322310,오로스테크놀로지,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
030530,원익홀딩스,분석 제외 대상
053080,원방테크,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
900340,윙입푸드,분석 제외 대상
340930,유일에너테크,Error on calculate_srim : not enough ROE history
086250,이노와이즈,Error on calculate_srim : not enough ROE history
078020,이베스트투자증권,분석 제외 대상
900310,컬러레이,분석 제외 대상
051780,큐로홀딩스,분석 제외 대상
307160,하나머스트제6호스팩,분석 제외 대상
239890,피엔에이치테크,Error on calculate_srim : not enough ROE history
003380,하림지주,분석 제외 대상
340120,하이제5호스팩,분석 제외 대상
253610,루트락,Error on calculate_srim : not enough ROE history
266170,뿌리깊은나무들,Error on calculate_srim : could not convert string to float: '완전잠식'
258540,스템랩,Error on calculate_srim : could not convert string to float: '완전잠식'
203400,에이비온,Error on calculate_srim : could not convert string to float: '완전잠식'
322190,에이스캠퍼,Error on calculate_srim : not enough ROE history
140610,엔솔바이오사이언스,Error on calculate_srim : could not convert string to float: '완전잠식'
078930,GS,분석 제외 대상
175330,JB금융지주,분석 제외 대상
005940,NH투자증권,분석 제외 대상
034730,SK,분석 제외 대상
339770,교촌에프앤비,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
000320,노루홀딩스,분석 제외 대상
084690,대상홀딩스,분석 제외 대상
004990,롯데지주,분석 제외 대상
326030,에스케이바이오팜,"Error on organize_result : can only concatenate str (not ""numpy.float64"") to str"
015360,예스코홀딩스,분석 제외 대상
010050,우리종금,분석 제외 대상
000700,유수홀딩스,분석 제외 대상
350520,이지스레지던스리츠,분석 제외 대상
006220,제주은행,분석 제외 대상
100250,진양홀딩스,분석 제외 대상
009410,태영건설,분석 제외 대상
086790,하나금융지주,분석 제외 대상
016450,한세예스24홀딩스,분석 제외 대상
003300,한일홀딩스,분석 제외 대상
300720,한일시멘트,Error on calculate_srim : not enough ROE history
000720,현대건설,분석 제외 대상
000540,흥국화재,분석 제외 대상
900290,GRT,분석 제외 대상
016250,SGC이테크건설,분석 제외 대상
121440,골프존뉴딘홀딩스,분석 제외 대상
900070,글로벌에스엠,분석 제외 대상
355150,교보10호기업인수목적,Error on calculate_srim : not enough ROE history
950220,네오이뮨텍,분석 제외 대상
336570,대신밸런스제8호스팩,분석 제외 대상
298540,더네이쳐홀딩스,분석 제외 대상
013120,동원개발,분석 제외 대상
318410,비비씨,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
054220,비츠로시스,Error on calculate_srim : could not convert string to float: '완전잠식'
329560,상상인이안제2호스팩,분석 제외 대상
036830,솔브레인홀딩스,분석 제외 대상
304100,솔트룩스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
039670,스포츠서울,Error on calculate_srim : can't multiply sequence by non-int of type 'numpy.float64'
344050,신영스팩6호,분석 제외 대상
297570,알로이스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
317830,에스피시스템스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
353060,에이치엠씨제5호스팩,분석 제외 대상
353190,엔에이치스팩16호,분석 제외 대상
354200,엔젠바이오,Error on calculate_srim : not enough ROE history
321260,유진스팩4호,분석 제외 대상
323210,이베스트이안스팩1호,분석 제외 대상
352940,인바이오,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
216080,제테마,Error on calculate_srim : could not convert string to float: '완전잠식'
347140,케이프이에스제4호,Error on calculate_srim : not enough ROE history
950160,코오롱티슈진,분석 제외 대상
317690,퀀타매트릭스,Error on calculate_srim : not enough ROE history
