code,name,reason
337840,유엑스엔,Error on calculate_srim : not enough ROE history
341310,이앤에치,Error on calculate_srim : not enough ROE history
327610,펨토바이오메드,Error on calculate_srim : not enough ROE history
267290,경동도시가스,Error on calculate_srim : not enough ROE history
003540,대신증권,분석 제외 대상
000060,메리츠화재,분석 제외 대상
268280,미원에스씨,Error on calculate_srim : not enough ROE history
088260,이리츠코크렙,분석 제외 대상
317400,자이에스앤디,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
348950,제이알글로벌리츠,분석 제외 대상
153360,하이골드3호,Error on parse_fnguide : Cannot remove 1 levels from an index with 1 levels: at least one level must be left.
152550,한국ANKOR유전,Error on parse_fnguide : list index out of range
353490,미래에셋대우스팩 5호,분석 제외 대상
323990,박셀바이오,Error on calculate_srim : not enough ROE history
309930,삼성머스트스팩3호,분석 제외 대상
307870,상상인이안1호스팩,분석 제외 대상
331920,셀레믹스,Error on calculate_srim : not enough ROE history
299660,셀리드,Error on calculate_srim : could not convert string to float: '완전잠식'
357780,솔브레인,Error on calculate_srim : not enough ROE history
293780,압타바이오,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
312610,에이에프더블류,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
321550,티움바이오,Error on calculate_srim : not enough ROE history
318010,팜스빌,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
310870,한국제8호스팩,분석 제외 대상
317320,한화에스비아이스팩,분석 제외 대상
122830,원포유,Error on calculate_srim : not enough ROE history
327970,케어룸의료산업,Error on calculate_srim : not enough ROE history
030210,KTB투자증권,분석 제외 대상
071970,STX중공업,Error on calculate_srim : could not convert string to float: '완전잠식'
282690,동아타이어,Error on calculate_srim : not enough ROE history
330590,롯데리츠,분석 제외 대상
138040,메리츠금융지주,분석 제외 대상
334890,이지스밸류플러스리츠,분석 제외 대상
003530,한화투자증권,분석 제외 대상
335870,IBKS제12호스팩,분석 제외 대상
290660,네오펙트,Error on calculate_srim : could not convert string to float: '완전잠식'
317850,대모,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
291230,삼성스팩2호,분석 제외 대상
125210,아모그린텍,Error on calculate_srim : could not convert string to float: '완전잠식'
158430,아톤,Error on calculate_srim : not enough ROE history
291650,압타머사이언스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
359090,엔에이치스팩17호,분석 제외 대상
086250,이노와이즈,Error on calculate_srim : not enough ROE history
078020,이베스트투자증권,분석 제외 대상
307160,하나머스트제6호스팩,분석 제외 대상
340120,하이제5호스팩,분석 제외 대상
266170,뿌리깊은나무들,Error on calculate_srim : could not convert string to float: '완전잠식'
258540,스템랩,Error on calculate_srim : could not convert string to float: '완전잠식'
203400,에이비온,Error on calculate_srim : could not convert string to float: '완전잠식'
179720,옐로페이,Error on calculate_srim : could not convert string to float: '완전잠식'
005940,NH투자증권,분석 제외 대상
326030,에스케이바이오팜,Error on calculate_srim : can't multiply sequence by non-int of type 'numpy.float64'
350520,이지스레지던스리츠,분석 제외 대상
006220,제주은행,분석 제외 대상
300720,한일시멘트,Error on calculate_srim : not enough ROE history
355150,교보10호기업인수목적,Error on calculate_srim : not enough ROE history
348210,넥스틴,Error on calculate_srim : could not convert string to float: '완전잠식'
336570,대신밸런스제8호스팩,분석 제외 대상
294140,레몬,Error on calculate_srim : could not convert string to float: '완전잠식'
318410,비비씨,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
054220,비츠로시스,Error on calculate_srim : could not convert string to float: '완전잠식'
329560,상상인이안제2호스팩,분석 제외 대상
347000,센코,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
304100,솔트룩스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
317770,슈프리마아이디,Error on calculate_srim : not enough ROE history
344050,신영스팩6호,분석 제외 대상
297570,알로이스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
317830,에스피시스템스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
353190,엔에이치스팩16호,분석 제외 대상
287410,유안타제3호스팩,분석 제외 대상
321260,유진스팩4호,분석 제외 대상
323210,이베스트이안스팩1호,분석 제외 대상
