code,name,현재가,매수가격,적정가격,매도가격,매수가격예상수익률(%),적정가격예상수익률(%),매도가격예상수익률(%),ROE(%),ROE기준,배당수익률(%),배당성향(%),CF위험(회),CF이익비율-3,CF이익비율-2,CF이익비율-1,CF이익비율0,업종,주요제품
025620,제이준코스메틱,2720,-2795,-6001,-17291,-202.75,-320.61,-735.71,-93.55,2019/12,NaN,-0.0,2,-0.92,-4.45,-0.07,0.35,기타 화학제품 제조업,화장품 제조 판매
001550,조비,19450,7073,5439,-315,-63.63,-72.03,-101.62,-0.27,2019/12,NaN,-0.0,1,4.06,2.05,-2.5,NaN,"비료, 농약 및 살균, 살충제 제조업","복합비료(연초용,수도용,시판용,특수작물용),양액재배용 비료,완효성 비료,부직포 제조,무역"
120030,조선선재,111000,99843,108857,140604,-10.05,-1.93,26.67,12.69,2019/12,1.82,14.72,0,0.91,0.68,1.09,NaN,기타 금속 가공제품 제조업,용접재료
063160,종근당바이오,49950,27955,27251,24769,-44.03,-45.44,-50.41,6.8,2019/12,0.65,8.5,0,2.27,2.21,1.1,0.72,의약품 제조업,"의약품,원료의약품 제조"
051630,진양화학,4800,1237,494,-2124,-74.23,-89.71,-144.25,-7.57,2019/12,NaN,-0.0,0,-1.71,1.0,-0.48,NaN,플라스틱제품 제조업,"레쟈,바닥재 제조"
005070,코스모신소재,14550,3166,1767,-3163,-78.24,-87.86,-121.74,-4.99,2019/12,NaN,-0.0,1,-0.14,0.64,-0.0,NaN,기타 화학제품 제조업,"이차전지양극활물질,기능성필름"
021240,코웨이,71800,21897,27380,46689,-69.5,-61.87,-34.97,25.34,2022/12(E),2.58,53.2,0,1.17,1.04,1.18,1.34,그외 기타 개인 서비스업,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)"
284740,쿠쿠홈시스,41250,24827,28967,43548,-39.81,-29.78,5.57,17.87,2022/12(E),1.3,19.38,1,1.04,-0.49,0.07,0.3,개인 및 가정용품 임대업,"정수기, 공기청정기 등"
007980,태평양물산,1925,1575,63,-5262,-18.17,-96.71,-373.34,-11.64,2020/12(E),1.13,13.33,2,0.9,0.45,-0.2,-4.03,봉제의복 제조업,"봉제의류(자켓,파카,코트),침구 제조,우모가공,생활용품 도소매,무역"
055490,테이팩스,33550,21028,20790,19950,-37.32,-38.03,-40.54,7.41,2019/12,NaN,0.0,0,1.02,0.6,1.58,1.07,플라스틱제품 제조업,"OCA, 2차전지용 테이프, 산업용 랩 등"
